Date,Type,runno,Sample_Name,Number,Det.,Ion,Measurement,Core,Depth_cm,Real_depth_cm,Real_conc_ppb,Dilfac,Standard_group,U_spike_mass,Sample_mass,Total_mass,Conc_spike,U238_to_U236_mean,U238_to_U236_stdev,U238_to_U236_sterr,U238_to_U236_stderr,U238_to_U236_stderr_over_mean
5022022,blank,1,0,48663820.61,A,Mg24,CPS,,,,0,,a,,,,,,,,,
5022022,blank,2,0,50668069.78,A,Mg24,CPS,,,,0,,a,,,,,,,,,
5022022,blank,3,0,51067083.78,A,Mg24,CPS,,,,0,,a,,,,,,,,,
5022022,Standard,4,6,52077501.42,A,Mg24,CPS,,,,0.4,,a,,,,,,,,,
5022022,Standard,5,5,52201778.44,A,Mg24,CPS,,,,0.77,,a,,,,,,,,,
5022022,Standard,6,4,51764587.26,A,Mg24,CPS,,,,3.77,,a,,,,,,,,,
5022022,Standard,7,3,52923862.25,A,Mg24,CPS,,,,7.8,,a,,,,,,,,,
5022022,Standard,8,2,51912417.84,A,Mg24,CPS,,,,38.18,,a,,,,,,,,,
5022022,Standard,9,1,51325395.59,A,Mg24,CPS,,,,366.63,,a,,,,,,,,,
5022022,blank,10,0,53289817.69,A,Mg24,CPS,,,,0,,a,,,,,,,,,
5022022,blank,11,0,53838913.52,A,Mg24,CPS,,,,0,,a,,,,,,,,,
5022022,Sample,12,GC35,57901403.11,A,Mg24,CPS,GC02,60,63.6,,10.08753169,,,,,,,,,,
5022022,Sample,13,GC16,55615803.84,A,Mg24,CPS,MC01,36,36,,10.11317572,,,,,,,,,,
5022022,Sample,14,GC52,37696077.75,A,Mg24,CPS,GC02,99,102.5,,10.3315002,,,,,,,,,,
5022022,Sample,15,GC45,59205999.16,A,Mg24,CPS,GC02,18,21.5,,10.08975976,,,,,,,,,,
5022022,Sample,16,GC10,58376047.99,A,Mg24,CPS,MC01,15,15,,10.11043587,,,,,,,,,,
5022022,Sample,17,GC48,57519019.99,A,Mg24,CPS,GC02,108,111.5,,10.1253554,,,,,,,,,,
5022022,blank,18,0,53212512.89,A,Mg24,CPS,,,,0,,b,,,,,,,,,
5022022,Standard,19,6,53887250.35,A,Mg24,CPS,,,,0.4,,b,,,,,,,,,
5022022,Standard,20,5,53491366.73,A,Mg24,CPS,,,,0.77,,b,,,,,,,,,
5022022,Standard,21,4,52721932.82,A,Mg24,CPS,,,,3.77,,b,,,,,,,,,
5022022,Standard,22,3,53376835.46,A,Mg24,CPS,,,,7.8,,b,,,,,,,,,
5022022,Standard,23,2,51983199.87,A,Mg24,CPS,,,,38.18,,b,,,,,,,,,
5022022,Standard,24,1,50903221.18,A,Mg24,CPS,,,,366.63,,b,,,,,,,,,
5022022,blank,25,0,52774207.1,A,Mg24,CPS,,,,0,,b,,,,,,,,,
5022022,blank,26,0,53031529.41,A,Mg24,CPS,,,,0,,b,,,,,,,,,
5022022,Sample,27,GC26,58415408.6,A,Mg24,CPS,GC02,63,66.5,,10.09182441,,,,,,,,,,
5022022,Sample,28,GC06,57401869.6,A,Mg24,CPS,MC01,6,6,,10.03678206,,,,,,,,,,
5022022,Sample,29,GC37,55812964,A,Mg24,CPS,GC02,27,30.5,,10.12922565,,,,,,,,,,
5022022,Sample,30,GC39,46060860.74,A,Mg24,CPS,GC02,21,24.5,,10.1611748,,,,,,,,,,
5022022,Sample,31,GC19,49658489.49,A,Mg24,CPS,GC02,69,72.5,,10.09787795,,,,,,,,,,
5022022,Sample,32,GC42,58446547.99,A,Mg24,CPS,GC02,3,6.5,,10.09417095,,,,,,,,,,
5022022,blank,33,0,52274873.03,A,Mg24,CPS,,,,0,,c,,,,,,,,,
5022022,Standard,34,6,52784974.62,A,Mg24,CPS,,,,0.4,,c,,,,,,,,,
5022022,Standard,35,5,52318593.75,A,Mg24,CPS,,,,0.77,,c,,,,,,,,,
5022022,Standard,36,4,51531708.39,A,Mg24,CPS,,,,3.77,,c,,,,,,,,,
5022022,Standard,37,3,52291318.23,A,Mg24,CPS,,,,7.8,,c,,,,,,,,,
5022022,Standard,38,2,50917384.59,A,Mg24,CPS,,,,38.18,,c,,,,,,,,,
5022022,Standard,39,1,50220723.96,A,Mg24,CPS,,,,366.63,,c,,,,,,,,,
5022022,blank,40,0,51603828.01,A,Mg24,CPS,,,,0,,c,,,,,,,,,
5022022,blank,41,0,51324558,A,Mg24,CPS,,,,0,,c,,,,,,,,,
5022022,Sample,42,GC20,57546045.52,A,Mg24,CPS,GC02,57,60.5,,10.11343762,,,,,,,,,,
5022022,Sample,43,GC71,58101801.5,A,Mg24,CPS,GC04,110,116,,10.09230754,,,,,,,,,,
5022022,Sample,44,GC03,55983322.1,A,Mg24,CPS,MC01,3,3,,10.11976995,,,,,,,,,,
5022022,Sample,45,GC28,56301207.47,A,Mg24,CPS,GC02,54,57.5,,10.0956967,,,,,,,,,,
5022022,Sample,46,GC44,37650900.82,A,Mg24,CPS,GC02,42,45.5,,16.40037617,,,,,,,,,,
5022022,Sample,47,GC77,50808956.67,A,Mg24,CPS,GC04,80,86,,10.13208268,,,,,,,,,,
5022022,blank,48,0,50995287.24,A,Mg24,CPS,,,,0,,d,,,,,,,,,
5022022,Standard,49,6,51166539.74,A,Mg24,CPS,,,,0.4,,d,,,,,,,,,
5022022,Standard,50,5,50919622.83,A,Mg24,CPS,,,,0.77,,d,,,,,,,,,
5022022,Standard,51,4,50059601.84,A,Mg24,CPS,,,,3.77,,d,,,,,,,,,
5022022,Standard,52,3,50922367.58,A,Mg24,CPS,,,,7.8,,d,,,,,,,,,
5022022,Standard,53,2,49883179.17,A,Mg24,CPS,,,,38.18,,d,,,,,,,,,
5022022,Standard,54,1,48831917.95,A,Mg24,CPS,,,,366.63,,d,,,,,,,,,
5022022,blank,55,0,50365867.34,A,Mg24,CPS,,,,0,,d,,,,,,,,,
5022022,blank,56,0,50176001.48,A,Mg24,CPS,,,,0,,d,,,,,,,,,
5022022,blank,1,0,2.283880683,A,Mg24,RDS,,,,0,,a,,,,,,,,,
5022022,blank,2,0,0.977566514,A,Mg24,RDS,,,,0,,a,,,,,,,,,
5022022,blank,3,0,1.57242289,A,Mg24,RDS,,,,0,,a,,,,,,,,,
5022022,Standard,4,6,1.050386838,A,Mg24,RDS,,,,0.4,,a,,,,,,,,,
5022022,Standard,5,5,0.977839215,A,Mg24,RDS,,,,0.77,,a,,,,,,,,,
5022022,Standard,6,4,1.082628532,A,Mg24,RDS,,,,3.77,,a,,,,,,,,,
5022022,Standard,7,3,0.881901481,A,Mg24,RDS,,,,7.8,,a,,,,,,,,,
5022022,Standard,8,2,0.701716677,A,Mg24,RDS,,,,38.18,,a,,,,,,,,,
5022022,Standard,9,1,1.073765978,A,Mg24,RDS,,,,366.63,,a,,,,,,,,,
5022022,blank,10,0,1.437715507,A,Mg24,RDS,,,,0,,a,,,,,,,,,
5022022,blank,11,0,1.529050165,A,Mg24,RDS,,,,0,,a,,,,,,,,,
5022022,Sample,12,GC35,0.657624677,A,Mg24,RDS,GC02,60,63.5,,10.08753169,,,,,,,,,,
5022022,Sample,13,GC16,1.376768715,A,Mg24,RDS,MC01,36,36,,10.11317572,,,,,,,,,,
5022022,Sample,14,GC52,0.97440871,A,Mg24,RDS,GC02,99,102.5,,10.3315002,,,,,,,,,,
5022022,Sample,15,GC45,0.79054037,A,Mg24,RDS,GC02,18,21.5,,10.08975976,,,,,,,,,,
5022022,Sample,16,GC10,0.959367353,A,Mg24,RDS,MC01,15,15,,10.11043587,,,,,,,,,,
5022022,Sample,17,GC48,1.047563734,A,Mg24,RDS,GC02,108,111.5,,10.1253554,,,,,,,,,,
5022022,blank,18,0,0.492993334,A,Mg24,RDS,,,,0,,b,,,,,,,,,
5022022,Standard,19,6,0.275331925,A,Mg24,RDS,,,,0.4,,b,,,,,,,,,
5022022,Standard,20,5,0.479075401,A,Mg24,RDS,,,,0.77,,b,,,,,,,,,
5022022,Standard,21,4,0.698566163,A,Mg24,RDS,,,,3.77,,b,,,,,,,,,
5022022,Standard,22,3,0.826182064,A,Mg24,RDS,,,,7.8,,b,,,,,,,,,
5022022,Standard,23,2,0.768274794,A,Mg24,RDS,,,,38.18,,b,,,,,,,,,
5022022,Standard,24,1,0.869890966,A,Mg24,RDS,,,,366.63,,b,,,,,,,,,
5022022,blank,25,0,0.465744873,A,Mg24,RDS,,,,0,,b,,,,,,,,,
5022022,blank,26,0,0.801910745,A,Mg24,RDS,,,,0,,b,,,,,,,,,
5022022,Sample,27,GC26,0.876094387,A,Mg24,RDS,GC02,63,66.5,,10.09182441,,,,,,,,,,
5022022,Sample,28,GC06,0.640345518,A,Mg24,RDS,MC01,6,6,,10.03678206,,,,,,,,,,
5022022,Sample,29,GC37,1.191825962,A,Mg24,RDS,GC02,27,30.5,,10.12922565,,,,,,,,,,
5022022,Sample,30,GC39,1.229535053,A,Mg24,RDS,GC02,21,24.5,,10.1611748,,,,,,,,,,
5022022,Sample,31,GC19,1.022796654,A,Mg24,RDS,GC02,69,72.5,,10.09787795,,,,,,,,,,
5022022,Sample,32,GC42,0.818130869,A,Mg24,RDS,GC02,3,6.5,,10.09417095,,,,,,,,,,
5022022,blank,33,0,1.276758524,A,Mg24,RDS,,,,0,,c,,,,,,,,,
5022022,Standard,34,6,0.825129219,A,Mg24,RDS,,,,0.4,,c,,,,,,,,,
5022022,Standard,35,5,1.03038377,A,Mg24,RDS,,,,0.77,,c,,,,,,,,,
5022022,Standard,36,4,0.908947134,A,Mg24,RDS,,,,3.77,,c,,,,,,,,,
5022022,Standard,37,3,0.456408063,A,Mg24,RDS,,,,7.8,,c,,,,,,,,,
5022022,Standard,38,2,1.014365427,A,Mg24,RDS,,,,38.18,,c,,,,,,,,,
5022022,Standard,39,1,0.991107469,A,Mg24,RDS,,,,366.63,,c,,,,,,,,,
5022022,blank,40,0,1.156670717,A,Mg24,RDS,,,,0,,c,,,,,,,,,
5022022,blank,41,0,0.991074923,A,Mg24,RDS,,,,0,,c,,,,,,,,,
5022022,Sample,42,GC20,1.409456146,A,Mg24,RDS,GC02,57,60.5,,10.11343762,,,,,,,,,,
5022022,Sample,43,GC71,1.282215217,A,Mg24,RDS,GC04,110,116,,10.09230754,,,,,,,,,,
5022022,Sample,44,GC03,0.986475376,A,Mg24,RDS,MC01,3,3,,10.11976995,,,,,,,,,,
5022022,Sample,45,GC28,0.755535127,A,Mg24,RDS,GC02,54,57.5,,10.0956967,,,,,,,,,,
5022022,Sample,46,GC44,0.87131548,A,Mg24,RDS,GC02,42,45.5,,16.40037617,,,,,,,,,,
5022022,Sample,47,GC77,1.061547581,A,Mg24,RDS,GC04,80,86,,10.13208268,,,,,,,,,,
5022022,blank,48,0,0.755345457,A,Mg24,RDS,,,,0,,d,,,,,,,,,
5022022,Standard,49,6,0.756298469,A,Mg24,RDS,,,,0.4,,d,,,,,,,,,
5022022,Standard,50,5,1.383413481,A,Mg24,RDS,,,,0.77,,d,,,,,,,,,
5022022,Standard,51,4,1.477216844,A,Mg24,RDS,,,,3.77,,d,,,,,,,,,
5022022,Standard,52,3,0.56915277,A,Mg24,RDS,,,,7.8,,d,,,,,,,,,
5022022,Standard,53,2,1.093759947,A,Mg24,RDS,,,,38.18,,d,,,,,,,,,
5022022,Standard,54,1,1.252462077,A,Mg24,RDS,,,,366.63,,d,,,,,,,,,
5022022,blank,55,0,0.442533253,A,Mg24,RDS,,,,0,,d,,,,,,,,,
5022022,blank,56,0,1.121969163,A,Mg24,RDS,,,,0,,d,,,,,,,,,
5022022,blank,1,0,39632.232,,Ca43,CPS,,,,0,,a,,,,,,,,,
5022022,blank,2,0,41410.126,,Ca43,CPS,,,,0,,a,,,,,,,,,
5022022,blank,3,0,41831.986,,Ca43,CPS,,,,0,,a,,,,,,,,,
5022022,Standard,4,6,41643.294,,Ca43,CPS,,,,0.4,,a,,,,,,,,,
5022022,Standard,5,5,42275.834,,Ca43,CPS,,,,0.77,,a,,,,,,,,,
5022022,Standard,6,4,41243.726,,Ca43,CPS,,,,3.77,,a,,,,,,,,,
5022022,Standard,7,3,42516.58,,Ca43,CPS,,,,7.8,,a,,,,,,,,,
5022022,Standard,8,2,41063.246,,Ca43,CPS,,,,38.18,,a,,,,,,,,,
5022022,Standard,9,1,42345.838,,Ca43,CPS,,,,366.63,,a,,,,,,,,,
5022022,blank,10,0,41886.53,,Ca43,CPS,,,,0,,a,,,,,,,,,
5022022,blank,11,0,42468.292,,Ca43,CPS,,,,0,,a,,,,,,,,,
5022022,Sample,12,GC35,49173.292,,Ca43,CPS,GC02,60,,,10.08753169,,,,,,,,,,
5022022,Sample,13,GC16,48484.268,,Ca43,CPS,MC01,36,,,10.11317572,,,,,,,,,,
5022022,Sample,14,GC52,31827.92,,Ca43,CPS,GC02,99,,,10.3315002,,,,,,,,,,
5022022,Sample,15,GC45,49822.056,,Ca43,CPS,GC02,18,,,10.08975976,,,,,,,,,,
5022022,Sample,16,GC10,50793.858,,Ca43,CPS,MC01,15,,,10.11043587,,,,,,,,,,
5022022,Sample,17,GC48,49032.518,,Ca43,CPS,GC02,108,,,10.1253554,,,,,,,,,,
5022022,blank,18,0,42044.89,,Ca43,CPS,,,,0,,b,,,,,,,,,
5022022,Standard,19,6,42544.508,,Ca43,CPS,,,,0.4,,b,,,,,,,,,
5022022,Standard,20,5,42379.87,,Ca43,CPS,,,,0.77,,b,,,,,,,,,
5022022,Standard,21,4,41366.016,,Ca43,CPS,,,,3.77,,b,,,,,,,,,
5022022,Standard,22,3,42146.83,,Ca43,CPS,,,,7.8,,b,,,,,,,,,
5022022,Standard,23,2,41057.374,,Ca43,CPS,,,,38.18,,b,,,,,,,,,
5022022,Standard,24,1,42589.08,,Ca43,CPS,,,,366.63,,b,,,,,,,,,
5022022,blank,25,0,41771.888,,Ca43,CPS,,,,0,,b,,,,,,,,,
5022022,blank,26,0,42370.04,,Ca43,CPS,,,,0,,b,,,,,,,,,
5022022,Sample,27,GC26,48763.748,,Ca43,CPS,GC02,63,,,10.09182441,,,,,,,,,,
5022022,Sample,28,GC06,50183.526,,Ca43,CPS,MC01,6,,,10.03678206,,,,,,,,,,
5022022,Sample,29,GC37,48289.564,,Ca43,CPS,GC02,27,,,10.12922565,,,,,,,,,,
5022022,Sample,30,GC39,38618.434,,Ca43,CPS,GC02,21,,,10.1611748,,,,,,,,,,
5022022,Sample,31,GC19,41131.38,,Ca43,CPS,GC02,69,,,10.09787795,,,,,,,,,,
5022022,Sample,32,GC42,49920.606,,Ca43,CPS,GC02,3,,,10.09417095,,,,,,,,,,
5022022,blank,33,0,41392.394,,Ca43,CPS,,,,0,,c,,,,,,,,,
5022022,Standard,34,6,42193.418,,Ca43,CPS,,,,0.4,,c,,,,,,,,,
5022022,Standard,35,5,41743.618,,Ca43,CPS,,,,0.77,,c,,,,,,,,,
5022022,Standard,36,4,41201.908,,Ca43,CPS,,,,3.77,,c,,,,,,,,,
5022022,Standard,37,3,41015.084,,Ca43,CPS,,,,7.8,,c,,,,,,,,,
5022022,Standard,38,2,40754.154,,Ca43,CPS,,,,38.18,,c,,,,,,,,,
5022022,Standard,39,1,41932.434,,Ca43,CPS,,,,366.63,,c,,,,,,,,,
5022022,blank,40,0,40966.848,,Ca43,CPS,,,,0,,c,,,,,,,,,
5022022,blank,41,0,40484.58,,Ca43,CPS,,,,0,,c,,,,,,,,,
5022022,Sample,42,GC20,48602.436,,Ca43,CPS,GC02,57,,,10.11343762,,,,,,,,,,
5022022,Sample,43,GC71,50786.022,,Ca43,CPS,GC04,110,,,10.09230754,,,,,,,,,,
5022022,Sample,44,GC03,48222.93,,Ca43,CPS,MC01,3,,,10.11976995,,,,,,,,,,
5022022,Sample,45,GC28,48241.076,,Ca43,CPS,GC02,54,,,10.0956967,,,,,,,,,,
5022022,Sample,46,GC44,30836.822,,Ca43,CPS,GC02,42,,,16.40037617,,,,,,,,,,
5022022,Sample,47,GC77,43209.216,,Ca43,CPS,GC04,80,,,10.13208268,,,,,,,,,,
5022022,blank,48,0,40864.628,,Ca43,CPS,,,,0,,d,,,,,,,,,
5022022,Standard,49,6,41149.094,,Ca43,CPS,,,,0.4,,d,,,,,,,,,
5022022,Standard,50,5,40734.326,,Ca43,CPS,,,,0.77,,d,,,,,,,,,
5022022,Standard,51,4,40376.58,,Ca43,CPS,,,,3.77,,d,,,,,,,,,
5022022,Standard,52,3,40952.448,,Ca43,CPS,,,,7.8,,d,,,,,,,,,
5022022,Standard,53,2,39563.698,,Ca43,CPS,,,,38.18,,d,,,,,,,,,
5022022,Standard,54,1,40822.286,,Ca43,CPS,,,,366.63,,d,,,,,,,,,
5022022,blank,55,0,39772.402,,Ca43,CPS,,,,0,,d,,,,,,,,,
5022022,blank,56,0,39776.488,,Ca43,CPS,,,,0,,d,,,,,,,,,
5022022,blank,1,0,2.923595029,P,Ca43,RDS,,,,0,,a,,,,,,,,,
5022022,blank,2,0,2.331905766,P,Ca43,RDS,,,,0,,a,,,,,,,,,
5022022,blank,3,0,1.803460917,P,Ca43,RDS,,,,0,,a,,,,,,,,,
5022022,Standard,4,6,1.17633826,P,Ca43,RDS,,,,0.4,,a,,,,,,,,,
5022022,Standard,5,5,3.77115614,P,Ca43,RDS,,,,0.77,,a,,,,,,,,,
5022022,Standard,6,4,2.131011323,P,Ca43,RDS,,,,3.77,,a,,,,,,,,,
5022022,Standard,7,3,1.84456004,P,Ca43,RDS,,,,7.8,,a,,,,,,,,,
5022022,Standard,8,2,2.034304855,P,Ca43,RDS,,,,38.18,,a,,,,,,,,,
5022022,Standard,9,1,1.634224957,P,Ca43,RDS,,,,366.63,,a,,,,,,,,,
5022022,blank,10,0,2.291486396,P,Ca43,RDS,,,,0,,a,,,,,,,,,
5022022,blank,11,0,3.051044683,P,Ca43,RDS,,,,0,,a,,,,,,,,,
5022022,Sample,12,GC35,1.941645617,P,Ca43,RDS,GC02,60,,,10.08753169,,,,,,,,,,
5022022,Sample,13,GC16,2.033408918,P,Ca43,RDS,MC01,36,,,10.11317572,,,,,,,,,,
5022022,Sample,14,GC52,1.376086019,P,Ca43,RDS,GC02,99,,,10.3315002,,,,,,,,,,
5022022,Sample,15,GC45,1.216786693,P,Ca43,RDS,GC02,18,,,10.08975976,,,,,,,,,,
5022022,Sample,16,GC10,1.297562305,P,Ca43,RDS,MC01,15,,,10.11043587,,,,,,,,,,
5022022,Sample,17,GC48,1.774508283,P,Ca43,RDS,GC02,108,,,10.1253554,,,,,,,,,,
5022022,blank,18,0,2.221863568,P,Ca43,RDS,,,,0,,b,,,,,,,,,
5022022,Standard,19,6,1.696495703,P,Ca43,RDS,,,,0.4,,b,,,,,,,,,
5022022,Standard,20,5,1.731124788,P,Ca43,RDS,,,,0.77,,b,,,,,,,,,
5022022,Standard,21,4,1.163637891,P,Ca43,RDS,,,,3.77,,b,,,,,,,,,
5022022,Standard,22,3,1.233040127,P,Ca43,RDS,,,,7.8,,b,,,,,,,,,
5022022,Standard,23,2,2.888910718,P,Ca43,RDS,,,,38.18,,b,,,,,,,,,
5022022,Standard,24,1,0.734276087,P,Ca43,RDS,,,,366.63,,b,,,,,,,,,
5022022,blank,25,0,1.738735085,P,Ca43,RDS,,,,0,,b,,,,,,,,,
5022022,blank,26,0,2.469405512,P,Ca43,RDS,,,,0,,b,,,,,,,,,
5022022,Sample,27,GC26,2.977761402,P,Ca43,RDS,GC02,63,,,10.09182441,,,,,,,,,,
5022022,Sample,28,GC06,1.074805701,P,Ca43,RDS,MC01,6,,,10.03678206,,,,,,,,,,
5022022,Sample,29,GC37,2.662921089,P,Ca43,RDS,GC02,27,,,10.12922565,,,,,,,,,,
5022022,Sample,30,GC39,1.752882944,P,Ca43,RDS,GC02,21,,,10.1611748,,,,,,,,,,
5022022,Sample,31,GC19,2.157388151,P,Ca43,RDS,GC02,69,,,10.09787795,,,,,,,,,,
5022022,Sample,32,GC42,2.086927357,P,Ca43,RDS,GC02,3,,,10.09417095,,,,,,,,,,
5022022,blank,33,0,1.657491898,P,Ca43,RDS,,,,0,,c,,,,,,,,,
5022022,Standard,34,6,1.256048553,P,Ca43,RDS,,,,0.4,,c,,,,,,,,,
5022022,Standard,35,5,1.204779425,P,Ca43,RDS,,,,0.77,,c,,,,,,,,,
5022022,Standard,36,4,1.349147984,P,Ca43,RDS,,,,3.77,,c,,,,,,,,,
5022022,Standard,37,3,2.380722877,P,Ca43,RDS,,,,7.8,,c,,,,,,,,,
5022022,Standard,38,2,1.739440147,P,Ca43,RDS,,,,38.18,,c,,,,,,,,,
5022022,Standard,39,1,2.146533349,P,Ca43,RDS,,,,366.63,,c,,,,,,,,,
5022022,blank,40,0,0.861745639,P,Ca43,RDS,,,,0,,c,,,,,,,,,
5022022,blank,41,0,1.05535788,P,Ca43,RDS,,,,0,,c,,,,,,,,,
5022022,Sample,42,GC20,2.317529685,P,Ca43,RDS,GC02,57,,,10.11343762,,,,,,,,,,
5022022,Sample,43,GC71,1.483863661,P,Ca43,RDS,GC04,110,,,10.09230754,,,,,,,,,,
5022022,Sample,44,GC03,1.661665255,P,Ca43,RDS,MC01,3,,,10.11976995,,,,,,,,,,
5022022,Sample,45,GC28,1.788242402,P,Ca43,RDS,GC02,54,,,10.0956967,,,,,,,,,,
5022022,Sample,46,GC44,1.866286536,P,Ca43,RDS,GC02,42,,,16.40037617,,,,,,,,,,
5022022,Sample,47,GC77,1.604618324,P,Ca43,RDS,GC04,80,,,10.13208268,,,,,,,,,,
5022022,blank,48,0,1.501007468,P,Ca43,RDS,,,,0,,d,,,,,,,,,
5022022,Standard,49,6,0.754010346,P,Ca43,RDS,,,,0.4,,d,,,,,,,,,
5022022,Standard,50,5,1.396546207,P,Ca43,RDS,,,,0.77,,d,,,,,,,,,
5022022,Standard,51,4,0.755333767,P,Ca43,RDS,,,,3.77,,d,,,,,,,,,
5022022,Standard,52,3,2.263068846,P,Ca43,RDS,,,,7.8,,d,,,,,,,,,
5022022,Standard,53,2,2.557243421,P,Ca43,RDS,,,,38.18,,d,,,,,,,,,
5022022,Standard,54,1,0.869949617,P,Ca43,RDS,,,,366.63,,d,,,,,,,,,
5022022,blank,55,0,1.530797781,P,Ca43,RDS,,,,0,,d,,,,,,,,,
5022022,blank,56,0,1.479262739,P,Ca43,RDS,,,,0,,d,,,,,,,,,
5022022,blank,1,0,678342.188,,Ca44,CPS,,,,0,,a,,,,,,,,,
5022022,blank,2,0,708376.038,,Ca44,CPS,,,,0,,a,,,,,,,,,
5022022,blank,3,0,717586.522,,Ca44,CPS,,,,0,,a,,,,,,,,,
5022022,Standard,4,6,725854.994,,Ca44,CPS,,,,0.4,,a,,,,,,,,,
5022022,Standard,5,5,725397.356,,Ca44,CPS,,,,0.77,,a,,,,,,,,,
5022022,Standard,6,4,720837.654,,Ca44,CPS,,,,3.77,,a,,,,,,,,,
5022022,Standard,7,3,738660.728,,Ca44,CPS,,,,7.8,,a,,,,,,,,,
5022022,Standard,8,2,719265.278,,Ca44,CPS,,,,38.18,,a,,,,,,,,,
5022022,Standard,9,1,724276.434,,Ca44,CPS,,,,366.63,,a,,,,,,,,,
5022022,blank,10,0,737209.72,,Ca44,CPS,,,,0,,a,,,,,,,,,
5022022,blank,11,0,748380.394,,Ca44,CPS,,,,0,,a,,,,,,,,,
5022022,Sample,12,GC35,833563.71,,Ca44,CPS,GC02,60,,,10.08753169,,,,,,,,,,
5022022,Sample,13,GC16,808001.868,,Ca44,CPS,MC01,36,,,10.11317572,,,,,,,,,,
5022022,Sample,14,GC52,548434.904,,Ca44,CPS,GC02,99,,,10.3315002,,,,,,,,,,
5022022,Sample,15,GC45,863019.512,,Ca44,CPS,GC02,18,,,10.08975976,,,,,,,,,,
5022022,Sample,16,GC10,862553.396,,Ca44,CPS,MC01,15,,,10.11043587,,,,,,,,,,
5022022,Sample,17,GC48,829645.968,,Ca44,CPS,GC02,108,,,10.1253554,,,,,,,,,,
5022022,blank,18,0,751261.918,,Ca44,CPS,,,,0,,b,,,,,,,,,
5022022,Standard,19,6,760947.214,,Ca44,CPS,,,,0.4,,b,,,,,,,,,
5022022,Standard,20,5,758047.604,,Ca44,CPS,,,,0.77,,b,,,,,,,,,
5022022,Standard,21,4,744353.752,,Ca44,CPS,,,,3.77,,b,,,,,,,,,
5022022,Standard,22,3,751964.258,,Ca44,CPS,,,,7.8,,b,,,,,,,,,
5022022,Standard,23,2,731451.068,,Ca44,CPS,,,,38.18,,b,,,,,,,,,
5022022,Standard,24,1,733304.744,,Ca44,CPS,,,,366.63,,b,,,,,,,,,
5022022,blank,25,0,744961.138,,Ca44,CPS,,,,0,,b,,,,,,,,,
5022022,blank,26,0,749996.176,,Ca44,CPS,,,,0,,b,,,,,,,,,
5022022,Sample,27,GC26,822404.876,,Ca44,CPS,GC02,63,,,10.09182441,,,,,,,,,,
5022022,Sample,28,GC06,848492.118,,Ca44,CPS,MC01,6,,,10.03678206,,,,,,,,,,
5022022,Sample,29,GC37,828700.582,,Ca44,CPS,GC02,27,,,10.12922565,,,,,,,,,,
5022022,Sample,30,GC39,655469.684,,Ca44,CPS,GC02,21,,,10.1611748,,,,,,,,,,
5022022,Sample,31,GC19,704814.828,,Ca44,CPS,GC02,69,,,10.09787795,,,,,,,,,,
5022022,Sample,32,GC42,856814.144,,Ca44,CPS,GC02,3,,,10.09417095,,,,,,,,,,
5022022,blank,33,0,746278.384,,Ca44,CPS,,,,0,,c,,,,,,,,,
5022022,Standard,34,6,757808.822,,Ca44,CPS,,,,0.4,,c,,,,,,,,,
5022022,Standard,35,5,750152.2,,Ca44,CPS,,,,0.77,,c,,,,,,,,,
5022022,Standard,36,4,738298.03,,Ca44,CPS,,,,3.77,,c,,,,,,,,,
5022022,Standard,37,3,746236.672,,Ca44,CPS,,,,7.8,,c,,,,,,,,,
5022022,Standard,38,2,723338.532,,Ca44,CPS,,,,38.18,,c,,,,,,,,,
5022022,Standard,39,1,729109.92,,Ca44,CPS,,,,366.63,,c,,,,,,,,,
5022022,blank,40,0,733596.65,,Ca44,CPS,,,,0,,c,,,,,,,,,
5022022,blank,41,0,732904.792,,Ca44,CPS,,,,0,,c,,,,,,,,,
5022022,Sample,42,GC20,840242.084,,Ca44,CPS,GC02,57,,,10.11343762,,,,,,,,,,
5022022,Sample,43,GC71,871655.06,,Ca44,CPS,GC04,110,,,10.09230754,,,,,,,,,,
5022022,Sample,44,GC03,835898.406,,Ca44,CPS,MC01,3,,,10.11976995,,,,,,,,,,
5022022,Sample,45,GC28,826834.972,,Ca44,CPS,GC02,54,,,10.0956967,,,,,,,,,,
5022022,Sample,46,GC44,539959.236,,Ca44,CPS,GC02,42,,,16.40037617,,,,,,,,,,
5022022,Sample,47,GC77,743637.608,,Ca44,CPS,GC04,80,,,10.13208268,,,,,,,,,,
5022022,blank,48,0,733373.792,,Ca44,CPS,,,,0,,d,,,,,,,,,
5022022,Standard,49,6,741269.29,,Ca44,CPS,,,,0.4,,d,,,,,,,,,
5022022,Standard,50,5,736154.742,,Ca44,CPS,,,,0.77,,d,,,,,,,,,
5022022,Standard,51,4,720843.926,,Ca44,CPS,,,,3.77,,d,,,,,,,,,
5022022,Standard,52,3,735641.598,,Ca44,CPS,,,,7.8,,d,,,,,,,,,
5022022,Standard,53,2,712204.772,,Ca44,CPS,,,,38.18,,d,,,,,,,,,
5022022,Standard,54,1,719580.478,,Ca44,CPS,,,,366.63,,d,,,,,,,,,
5022022,blank,55,0,722094.092,,Ca44,CPS,,,,0,,d,,,,,,,,,
5022022,blank,56,0,725380.802,,Ca44,CPS,,,,0,,d,,,,,,,,,
5022022,blank,1,0,2.195433322,P,Ca44,RDS,,,,0,,a,,,,,,,,,
5022022,blank,2,0,1.205503965,P,Ca44,RDS,,,,0,,a,,,,,,,,,
